playerid,participant_code,groupid,inactive,inactive_reason,group_dropped,part1_payoff_eligible,left_player,right_player,part1_signal_left,part1_signal_right,part1_finaldecision,part1_payoff,part3_finaldecision,selected_part_for_payment,prolific_id,prolific_study_id,prolific_session_id,survey_gender,survey_age,survey_field_of_study,survey_university_years,survey_job_status,survey_willingness_future,survey_willingness_risk,survey_reciprocity_positive,survey_reciprocity_negative,survey_willingness_donate,survey_trust_general,survey_beauty_contest_guess
9,5ntkq24t,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
10,mbc7ot6v,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
11,qe1citqn,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
12,wacezlku,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
13,gaf8naih,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
14,3fh11q6y,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
15,2wsnxlo0,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
16,qrfr11bn,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
17,uf1kjrqr,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
18,h2wufzqo,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
19,alqq2xhw,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
20,zn5qtfxy,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
21,l49r56go,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
22,wkgr97qg,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
23,abofwlxe,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
24,v2wn0q7o,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
25,bndvjav0,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
26,0zaz0aax,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
27,zxre973u,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
28,m43rxufz,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
29,zsfk9ipd,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
30,2piuntsa,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
31,bo5srhvb,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
32,xu8vzzbw,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
33,gctah84j,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
34,a3dq7axr,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
35,bk5oumcs,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
36,wy1tr4wg,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
37,xxanb1m9,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
38,klk81i63,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
39,4ff12zz6,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
40,jr4vv06u,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
41,d9vo9rxe,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
42,82kg1hag,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
43,w6vy631g,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
44,lckferig,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
45,wc5zg92e,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
1,5977liaz,3,,,0,1,05qfx0i7,n00ozz7b,split_you,split_you,Right,4.0,share_one,1,,,,,,,,,,,,,,,
2,k60eivfz,2,,,0,1,2j4yjh4s,iyaybccx,split_you,split_you,Both,4.0,share_both,0,,,,,,,,,,,,,,,
3,iyaybccx,2,,,0,1,k60eivfz,2j4yjh4s,split_you,split_you,Both,4.0,share_one,0,,,,,,,,,,,,,,,
4,1uqnqbvq,6,,,0,1,6bz5w1nt,s4mj3o69,split_you,split_you,Both,4.0,share_one,0,,,,,,,,,,,,,,,
5,2j4yjh4s,2,,,0,1,iyaybccx,k60eivfz,split_you,split_you,Left,4.0,share_both,0,,,,,,,,,,,,,,,
6,s4mj3o69,6,,,0,1,1uqnqbvq,6bz5w1nt,split_you,split_you,Both,4.0,share_one,0,,,,,,,,,,,,,,,
7,qckxzyr3,7,,,0,1,dmdvlb6t,6ojizmt1,split_you,split_you,Both,4.0,share_one,1,,,,,,,,,,,,,,,
8,beua6ch6,4,,,0,1,0tsp39eh,fmhvibbk,split_you,split_you,Left,0.0,share_both,0,,,,,,,,,,,,,,,
9,n00ozz7b,3,,,0,1,5977liaz,05qfx0i7,split_you,split_you,Both,4.0,share_one,1,,,,,,,,,,,,,,,
10,05qfx0i7,3,,,0,1,n00ozz7b,5977liaz,split_you,split_you,Both,4.0,share_one,1,,,,,,,,,,,,,,,
11,x1x4jm7i,5,,,0,1,roxmzk68,yt75dd3v,split_you,split_you,Left,0.0,share_both,1,,,,,,,,,,,,,,,
12,fmhvibbk,4,,,0,1,beua6ch6,0tsp39eh,split_you,split_you,Right,6.0,share_both,0,,,,,,,,,,,,,,,
13,6ojizmt1,7,,,0,1,qckxzyr3,dmdvlb6t,split_you,split_you,Both,4.0,share_one,1,,,,,,,,,,,,,,,
14,6bz5w1nt,6,,,0,1,s4mj3o69,1uqnqbvq,split_you,split_you,Left,4.0,share_one,0,,,,,,,,,,,,,,,
15,0tsp39eh,4,,,0,1,fmhvibbk,beua6ch6,split_you,split_you,Left,6.0,share_one,0,,,,,,,,,,,,,,,
16,y3f1qxuf,16,,,0,1,gzribzyd,44a1aq38,split_you,split_you,Left,0.0,share_both,0,,,,,,,,,,,,,,,
17,yt75dd3v,5,,,0,1,x1x4jm7i,roxmzk68,split_you,split_you,Right,0.0,share_one,1,,,,,,,,,,,,,,,
18,2e434ckt,8,,,0,1,tytzgqxh,185lsl9s,split_you,split_you,Right,0.0,share_both,1,,,,,,,,,,,,,,,
19,185lsl9s,8,,,0,1,2e434ckt,tytzgqxh,split_you,split_you,Both,0.0,share_both,1,,,,,,,,,,,,,,,
20,dmdvlb6t,7,,,0,1,6ojizmt1,qckxzyr3,split_you,split_you,Both,4.0,share_one,1,,,,,,,,,,,,,,,
21,ai35yj68,15,,,0,1,q5fvqxb4,xve1f0hw,split_you,split_you,Right,0.0,share_both,0,,,,,,,,,,,,,,,
22,1buf7gtg,9,,,0,1,92hx25ex,c5e1v9r1,split_you,split_you,Both,4.0,share_one,0,,,,,,,,,,,,,,,
23,roxmzk68,5,,,0,1,yt75dd3v,x1x4jm7i,split_you,split_you,Both,0.0,share_one,1,,,,,,,,,,,,,,,
24,tytzgqxh,8,,,0,1,185lsl9s,2e434ckt,split_you,split_you,Left,0.0,share_both,1,,,,,,,,,,,,,,,
25,8alm3lr2,10,,,0,1,qfuqa0ha,3zopmy9e,split_you,split_you,Left,0.0,share_one,0,,,,,,,,,,,,,,,
26,of2jflob,11,,,0,1,8okhv1km,dg19k2gr,split_you,split_you,Both,4.0,share_both,1,,,,,,,,,,,,,,,
27,dg19k2gr,11,,,0,1,of2jflob,8okhv1km,split_you,split_you,Left,4.0,share_both,1,,,,,,,,,,,,,,,
28,c5e1v9r1,9,,,0,1,1buf7gtg,92hx25ex,split_you,split_you,Left,4.0,share_one,0,,,,,,,,,,,,,,,
29,ru07md9e,12,,,0,1,pzpqduyx,7283axms,split_you,split_you,Both,4.0,share_one,0,,,,,,,,,,,,,,,
30,3zopmy9e,10,,,0,1,8alm3lr2,qfuqa0ha,split_you,split_you,Left,0.0,share_both,0,,,,,,,,,,,,,,,
31,8okhv1km,11,,,0,1,dg19k2gr,of2jflob,split_you,split_you,Both,4.0,share_one,1,,,,,,,,,,,,,,,
32,oa98fds8,13,,,0,1,hpckv9rp,gxtfdlrl,split_you,split_you,Both,4.0,share_both,0,,,,,,,,,,,,,,,
33,xve1f0hw,15,,,0,1,ai35yj68,q5fvqxb4,split_you,split_you,Right,6.0,share_both,0,,,,,,,,,,,,,,,
34,92hx25ex,9,,,0,1,c5e1v9r1,1buf7gtg,split_you,split_you,Both,4.0,share_both,0,,,,,,,,,,,,,,,
35,7283axms,12,,,0,1,ru07md9e,pzpqduyx,split_you,split_you,Both,4.0,share_both,0,,,,,,,,,,,,,,,
36,3z4emp85,14,,,0,1,h0osvjnp,fcdu23yx,split_you,split_you,Left,0.0,share_both,0,,,,,,,,,,,,,,,
37,44a1aq38,16,,,0,1,y3f1qxuf,gzribzyd,split_you,split_you,Left,0.0,share_both,0,,,,,,,,,,,,,,,
38,gzribzyd,16,,,0,1,44a1aq38,y3f1qxuf,split_you,split_you,Left,0.0,share_one,0,,,,,,,,,,,,,,,
39,gxtfdlrl,13,,,0,1,oa98fds8,hpckv9rp,split_you,split_you,Right,4.0,share_both,0,,,,,,,,,,,,,,,
40,fcdu23yx,14,,,0,1,3z4emp85,h0osvjnp,split_you,split_you,Right,6.0,share_both,0,,,,,,,,,,,,,,,
41,hpckv9rp,13,,,0,1,gxtfdlrl,oa98fds8,split_you,split_you,Both,4.0,share_both,0,,,,,,,,,,,,,,,
42,h0osvjnp,14,,,0,1,fcdu23yx,3z4emp85,split_you,split_you,Left,6.0,share_both,0,,,,,,,,,,,,,,,
43,pzpqduyx,12,,,0,1,7283axms,ru07md9e,split_you,split_you,Left,4.0,share_both,0,,,,,,,,,,,,,,,
44,qfuqa0ha,10,,,0,1,3zopmy9e,8alm3lr2,split_you,split_you,Both,0.0,share_both,0,,,,,,,,,,,,,,,
45,q5fvqxb4,15,,,0,1,xve1f0hw,ai35yj68,split_you,split_you,Left,6.0,share_both,0,,,,,,,,,,,,,,,
