session_code,id_in_session,participant_code,channel,nickname,body,timestamp
yv2jggqe,14,gkp838um,37-bargaining_tdl_main-49_1_3,RightPartner,Hey Purple! I think I'm going to support you. Purple is my favorite color!,1787064548.6141102
yv2jggqe,17,f6rye8x3,37-bargaining_tdl_main-49_1_3,LeftPartner,I love this for us! I'll support you back :),1787064569.9531672
yv2jggqe,14,gkp838um,37-bargaining_tdl_main-49_1_2,LeftPartner,Hey Orange!! I think I'll support you. One of my favorite sports teams is University of Tennessee - so of course I'll have to pick orange!,1787064585.0964913
yv2jggqe,14,gkp838um,37-bargaining_tdl_main-49_1_3,RightPartner,Oh great!! Thank you!!<3,1787064597.1466293
yv2jggqe,20,0siypf2w,37-bargaining_tdl_main-50_1_2,RightPartner,hello,1787065004.9623883
yv2jggqe,20,0siypf2w,37-bargaining_tdl_main-50_2_3,LeftPartner,hello,1787065008.66191
yv2jggqe,11,2d5c84ka,37-bargaining_tdl_main-50_1_2,LeftPartner,hey what is the strategy here,1787065020.9323227
yv2jggqe,20,0siypf2w,37-bargaining_tdl_main-50_1_2,RightPartner,"the other participant left, so we can support each other",1787065041.2171955
yv2jggqe,11,2d5c84ka,37-bargaining_tdl_main-50_1_2,LeftPartner,i support you you support me,1787065046.0482738
yv2jggqe,20,0siypf2w,37-bargaining_tdl_main-50_1_2,RightPartner,yes,1787065051.1339054
yv2jggqe,11,2d5c84ka,37-bargaining_tdl_main-50_1_2,LeftPartner,yeah deal,1787065051.8623433
yv2jggqe,22,aqeot5wb,37-bargaining_tdl_main-51_1_3,RightPartner,Hey! How are you?,1787065632.5654237
yv2jggqe,22,aqeot5wb,37-bargaining_tdl_main-51_1_2,LeftPartner,How's it going?,1787065636.7409058
yv2jggqe,24,gaqr15d3,37-bargaining_tdl_main-51_1_3,LeftPartner,hi!,1787065641.368499
yv2jggqe,24,gaqr15d3,37-bargaining_tdl_main-51_2_3,RightPartner,hi!,1787065645.3243356
yv2jggqe,22,aqeot5wb,37-bargaining_tdl_main-51_1_3,RightPartner,Do you recall the rules?,1787065658.2153342
yv2jggqe,24,gaqr15d3,37-bargaining_tdl_main-51_2_3,RightPartner,who should we support?,1787065658.7822094
yv2jggqe,24,gaqr15d3,37-bargaining_tdl_main-51_1_3,LeftPartner,yesi do,1787065666.3003902
yv2jggqe,24,gaqr15d3,37-bargaining_tdl_main-51_1_3,LeftPartner,who should we support?,1787065675.9856083
yv2jggqe,22,aqeot5wb,37-bargaining_tdl_main-51_1_3,RightPartner,"I messaged Orange, but they haven't replied. Maybe they're AFK?",1787065693.1924696
yv2jggqe,23,v4052mjl,37-bargaining_tdl_main-51_2_3,LeftPartner,lets support yellow,1787065712.3599563
yv2jggqe,22,aqeot5wb,37-bargaining_tdl_main-51_1_3,RightPartner,"Should we support each other, since they have not replied to me lol",1787065723.044914
yv2jggqe,24,gaqr15d3,37-bargaining_tdl_main-51_1_3,LeftPartner,yea,1787065728.1226485
yv2jggqe,23,v4052mjl,37-bargaining_tdl_main-51_1_2,RightPartner,lets support orange,1787065731.6738193
yv2jggqe,24,gaqr15d3,37-bargaining_tdl_main-51_1_3,LeftPartner,they might be,1787065733.0717413
yv2jggqe,24,gaqr15d3,37-bargaining_tdl_main-51_1_3,LeftPartner,okay they replied,1787065754.8644652
yv2jggqe,22,aqeot5wb,37-bargaining_tdl_main-51_1_3,RightPartner,"So you and me? Orange replied, they sound like a bot ",1787065765.409141
yv2jggqe,24,gaqr15d3,37-bargaining_tdl_main-51_1_3,LeftPartner,they might be,1787065778.7856567
yv2jggqe,24,gaqr15d3,37-bargaining_tdl_main-51_1_3,LeftPartner,oh it just said they left lmao,1787065782.487151
yv2jggqe,22,aqeot5wb,37-bargaining_tdl_main-51_1_3,RightPartner,"Okay, team purple and yellow!",1787065791.0558007
yv2jggqe,24,gaqr15d3,37-bargaining_tdl_main-51_1_3,LeftPartner,i think they were a real person but just wasnt engaged lmao,1787065792.3471975
yv2jggqe,24,gaqr15d3,37-bargaining_tdl_main-51_1_3,LeftPartner,are you a bot?,1787065798.7773883
yv2jggqe,22,aqeot5wb,37-bargaining_tdl_main-51_1_3,RightPartner,Probably LOL,1787065800.2372258
yv2jggqe,24,gaqr15d3,37-bargaining_tdl_main-51_1_3,LeftPartner,oh okay so ill choose you then,1787065823.3795807
yv2jggqe,22,aqeot5wb,37-bargaining_tdl_main-51_1_3,RightPartner,"Not a bot, but my friends joke around about me having aimbot when I play video games",1787065830.190903
yv2jggqe,24,gaqr15d3,37-bargaining_tdl_main-51_1_3,LeftPartner,ill support yellow and you support me>,1787065843.988812
yv2jggqe,22,aqeot5wb,37-bargaining_tdl_main-51_1_3,RightPartner,Cool! Let's do it,1787065844.5333147
wvbg5of9,5,s6y8ch8h,38-bargaining_tdl_main-52_1_2,RightPartner,Good Morning,1787067868.565199
wvbg5of9,1,g3efttuc,38-bargaining_tdl_main-52_1_3,RightPartner,Hi there! how are you?,1787067870.4622533
wvbg5of9,5,s6y8ch8h,38-bargaining_tdl_main-52_2_3,LeftPartner,Good Morning,1787067874.7197747
wvbg5of9,1,g3efttuc,38-bargaining_tdl_main-52_1_2,LeftPartner,Good morning! how are you?,1787067875.7351665
wvbg5of9,6,4opo986d,38-bargaining_tdl_main-52_1_3,LeftPartner,hello im good and you?,1787067882.2855415
wvbg5of9,6,4opo986d,38-bargaining_tdl_main-52_2_3,RightPartner,morning how are you?,1787067887.6928706
wvbg5of9,1,g3efttuc,38-bargaining_tdl_main-52_1_3,RightPartner, A little sleepy but good. ,1787067893.5628836
wvbg5of9,5,s6y8ch8h,38-bargaining_tdl_main-52_1_2,RightPartner,I am getting over a summer cold. How are you,1787067895.6031423
wvbg5of9,6,4opo986d,38-bargaining_tdl_main-52_2_3,RightPartner,same its a gloomy morning,1787067905.766517
wvbg5of9,5,s6y8ch8h,38-bargaining_tdl_main-52_2_3,LeftPartner,"I am getting over a summer cold, how are you",1787067909.5818102
wvbg5of9,1,g3efttuc,38-bargaining_tdl_main-52_1_3,RightPartner,"I'm 35, female and based in Pennsylvania. how about you?",1787067911.3688679
wvbg5of9,1,g3efttuc,38-bargaining_tdl_main-52_1_2,LeftPartner,oh no! I hope you feel better,1787067917.4105022
wvbg5of9,6,4opo986d,38-bargaining_tdl_main-52_1_3,LeftPartner,same its a gloomy morning,1787067919.5340617
wvbg5of9,1,g3efttuc,38-bargaining_tdl_main-52_1_2,LeftPartner,I'm good jus ta little tired,1787067920.935112
wvbg5of9,5,s6y8ch8h,38-bargaining_tdl_main-52_1_2,RightPartner,Thank you,1787067928.135131
wvbg5of9,6,4opo986d,38-bargaining_tdl_main-52_1_3,LeftPartner,im male 32 and in ohio,1787067931.6161845
wvbg5of9,4,6x1dthvs,38-bargaining_tdl_main-53_1_3,RightPartner,"Due to your randomly selected color being amazing, I feel more obligated to support you.",1787067936.0655615
wvbg5of9,1,g3efttuc,38-bargaining_tdl_main-52_1_2,LeftPartner,I'm 35 female and based in the Pennsylvania. how about you?,1787067938.1393518
wvbg5of9,10,b376mnjs,38-bargaining_tdl_main-53_2_3,RightPartner,Hello! I will choose to support Yellow,1787067946.20638
wvbg5of9,5,s6y8ch8h,38-bargaining_tdl_main-52_1_2,RightPartner,Are you going to support someone I hate that not everyone can get the bonus,1787067949.0588624
wvbg5of9,11,jppzjqct,38-bargaining_tdl_main-54_2_3,RightPartner,hey  how are you doing?,1787067951.1405742
wvbg5of9,11,jppzjqct,38-bargaining_tdl_main-54_1_3,LeftPartner,hey how are you doing?,1787067955.7760503
wvbg5of9,5,s6y8ch8h,38-bargaining_tdl_main-52_1_2,RightPartner,female 71 in Northern California,1787067963.7418272
wvbg5of9,2,3dfdiore,38-bargaining_tdl_main-54_1_3,RightPartner,"Hi I'm good, how are you?",1787067973.21789
wvbg5of9,8,zmgip65k,38-bargaining_tdl_main-54_2_3,LeftPartner,"I’m good, how are you?",1787067974.8951714
wvbg5of9,6,4opo986d,38-bargaining_tdl_main-52_2_3,RightPartner,want to vote for each other?,1787067975.899612
wvbg5of9,7,f0bz9ljc,38-bargaining_tdl_main-53_1_2,RightPartner,"Hi there, I'm an equal sharer here. I'll go for yellow in hopes that you will support purple.",1787067976.3837564
wvbg5of9,7,f0bz9ljc,38-bargaining_tdl_main-53_2_3,LeftPartner,"Hi there, I'm an equal sharer here. I'll go for yellow in hopes that yellow will support you.",1787067976.9616022
wvbg5of9,10,b376mnjs,38-bargaining_tdl_main-53_1_3,LeftPartner,Hello! I will choose to support you because I prefer yellow over orange. Also now that I have read your message I feel more so about this.,1787067977.6886637
wvbg5of9,1,g3efttuc,38-bargaining_tdl_main-52_1_2,LeftPartner,we could support each other if you want.  :) ,1787067978.2664256
wvbg5of9,2,3dfdiore,38-bargaining_tdl_main-54_1_2,LeftPartner,"hi, how are you doing?",1787067986.491269
wvbg5of9,5,s6y8ch8h,38-bargaining_tdl_main-52_1_2,RightPartner,I am down with that,1787067987.674869
wvbg5of9,10,b376mnjs,38-bargaining_tdl_main-53_2_3,RightPartner,Thank you! Best of luck!,1787067988.2424495
wvbg5of9,1,g3efttuc,38-bargaining_tdl_main-52_1_3,RightPartner,we could support each other if you want to try to get the bonus :),1787067989.7292144
wvbg5of9,5,s6y8ch8h,38-bargaining_tdl_main-52_2_3,LeftPartner,I am not sure yet,1787067996.3609242
wvbg5of9,6,4opo986d,38-bargaining_tdl_main-52_1_3,LeftPartner,lets do it! whats the plan?,1787068001.2713788
wvbg5of9,8,zmgip65k,38-bargaining_tdl_main-54_1_2,RightPartner,"I’m doing good, how are you?",1787068002.3409145
wvbg5of9,4,6x1dthvs,38-bargaining_tdl_main-53_1_2,LeftPartner,I will show purple love and support,1787068002.5833247
wvbg5of9,1,g3efttuc,38-bargaining_tdl_main-52_1_2,LeftPartner,Awesome. Good luck and hope you have a nice rest of your day,1787068004.238703
wvbg5of9,5,s6y8ch8h,38-bargaining_tdl_main-52_2_3,LeftPartner,tell me about yourself,1787068007.5850096
wvbg5of9,11,jppzjqct,38-bargaining_tdl_main-54_2_3,RightPartner,"I'm doing alright, my cat just got back from the vet so im happy hes doing all right. ",1787068014.9606185
wvbg5of9,2,3dfdiore,38-bargaining_tdl_main-54_1_2,LeftPartner,doing good today :),1787068027.7496657
wvbg5of9,11,jppzjqct,38-bargaining_tdl_main-54_2_3,RightPartner,So what is your plan for the game?,1787068030.589408
wvbg5of9,11,jppzjqct,38-bargaining_tdl_main-54_1_3,LeftPartner,So what is your plan for the game?,1787068035.8973956
wvbg5of9,2,3dfdiore,38-bargaining_tdl_main-54_1_3,RightPartner,"i think I'm going to support you, purple is my favorite color",1787068058.4224687
wvbg5of9,8,zmgip65k,38-bargaining_tdl_main-54_2_3,LeftPartner,"I’m glad your cat is ok, I have no idea what to do. Do you have a plan?",1787068066.533613
wvbg5of9,3,upjqerpa,38-bargaining_tdl_main-55_1_3,RightPartner,Hello,1787068072.9312222
wvbg5of9,3,upjqerpa,38-bargaining_tdl_main-55_1_2,LeftPartner,Hello,1787068075.744448
wvbg5of9,12,k6l9s4cc,38-bargaining_tdl_main-55_1_2,RightPartner,Hello!,1787068079.2774756
wvbg5of9,14,6revs3qy,38-bargaining_tdl_main-55_1_3,LeftPartner,Hello :),1787068081.370384
wvbg5of9,14,6revs3qy,38-bargaining_tdl_main-55_2_3,RightPartner,Hello :),1787068085.9039953
wvbg5of9,12,k6l9s4cc,38-bargaining_tdl_main-55_2_3,LeftPartner,Hi!,1787068086.1580348
wvbg5of9,2,3dfdiore,38-bargaining_tdl_main-54_1_2,LeftPartner,"I was thinking if we both support purple we would both get paid, what do you think?",1787068086.7315376
wvbg5of9,11,jppzjqct,38-bargaining_tdl_main-54_1_3,LeftPartner,"If you want to do that, we can support each other. Unfortunately one person must be left out, so let's do it if you want to.",1787068092.3920913
wvbg5of9,14,6revs3qy,38-bargaining_tdl_main-55_1_3,LeftPartner,Would you like to team up?,1787068096.349622
wvbg5of9,3,upjqerpa,38-bargaining_tdl_main-55_1_3,RightPartner,yes,1787068099.2879896
wvbg5of9,2,3dfdiore,38-bargaining_tdl_main-54_1_3,RightPartner,ok we can do that,1787068107.56193
wvbg5of9,3,upjqerpa,38-bargaining_tdl_main-55_1_2,LeftPartner,Your thoughts on this experiment?,1787068112.544914
wvbg5of9,11,jppzjqct,38-bargaining_tdl_main-54_2_3,RightPartner,its a difficult game to play because its a strange way to make choices lol,1787068113.9627478
wvbg5of9,14,6revs3qy,38-bargaining_tdl_main-55_1_3,LeftPartner,I will vote for you ,1787068117.1293397
wvbg5of9,3,upjqerpa,38-bargaining_tdl_main-55_1_3,RightPartner,I'll vote for you,1787068124.7838926
wvbg5of9,14,6revs3qy,38-bargaining_tdl_main-55_2_3,RightPartner,Are you wanting to team up?,1787068125.685415
wvbg5of9,12,k6l9s4cc,38-bargaining_tdl_main-55_1_2,RightPartner,This is a tricky one for me. I hate excluding anyone from the reward. What about you?,1787068133.625513
wvbg5of9,3,upjqerpa,38-bargaining_tdl_main-55_1_2,LeftPartner,I hate the exclusion too. But sometimes it has to be done,1787068170.4521265
wvbg5of9,12,k6l9s4cc,38-bargaining_tdl_main-55_1_2,RightPartner,"I think purple left, either that or they hit the next button",1787068183.3817923
wvbg5of9,3,upjqerpa,38-bargaining_tdl_main-55_1_2,LeftPartner,Looks like they did,1787068191.454046
wvbg5of9,12,k6l9s4cc,38-bargaining_tdl_main-55_1_2,RightPartner,"Yeah you're right. Well, should we team up then lol",1787068201.0337472
wvbg5of9,3,upjqerpa,38-bargaining_tdl_main-55_1_2,LeftPartner,You're cool with purple getting exlcuded? ,1787068231.0997148
wvbg5of9,12,k6l9s4cc,38-bargaining_tdl_main-55_1_2,RightPartner,I'm not okay with it but I'm also not able to talk to them about it ,1787068258.5657825
wvbg5of9,12,k6l9s4cc,38-bargaining_tdl_main-55_1_2,RightPartner,I was only able to say hello before they left ,1787068266.933614
wvbg5of9,3,upjqerpa,38-bargaining_tdl_main-55_1_2,LeftPartner,alright I'll support you if you have my back. ,1787068295.6636262
wvbg5of9,12,k6l9s4cc,38-bargaining_tdl_main-55_1_2,RightPartner,Yes I will support you,1787068321.5198267
wvbg5of9,17,4mpo3xt7,38-bargaining_tdl_main-56_1_2,RightPartner,Hello,1787068330.5685973
wvbg5of9,15,igyt8pnn,38-bargaining_tdl_main-56_1_2,LeftPartner,hello,1787068341.471167
wvbg5of9,17,4mpo3xt7,38-bargaining_tdl_main-56_1_2,RightPartner,It says that the Purple Participant has left,1787068358.5526145
wvbg5of9,17,4mpo3xt7,38-bargaining_tdl_main-56_1_2,RightPartner,So I am guessing it is me and you,1787068383.1771865
wvbg5of9,15,igyt8pnn,38-bargaining_tdl_main-56_1_2,LeftPartner,yes have see i dont know why,1787068386.8837748
wvbg5of9,17,4mpo3xt7,38-bargaining_tdl_main-56_1_2,RightPartner,Maybe they did not want to chat,1787068416.7612162
wvbg5of9,15,igyt8pnn,38-bargaining_tdl_main-56_1_2,LeftPartner,yes soo we can vote for each other,1787068422.322004
wvbg5of9,17,4mpo3xt7,38-bargaining_tdl_main-56_1_2,RightPartner,Sure,1787068432.2961578
wvbg5of9,15,igyt8pnn,38-bargaining_tdl_main-56_1_2,LeftPartner,okay then,1787068449.186871
wvbg5of9,17,4mpo3xt7,38-bargaining_tdl_main-56_1_2,RightPartner,guessing I will hit the next see you on the other side,1787068457.4430633
wvbg5of9,21,r9fverq5,38-bargaining_tdl_main-57_1_2,RightPartner,hi,1787068681.7954764
wvbg5of9,21,r9fverq5,38-bargaining_tdl_main-57_2_3,LeftPartner,hi,1787068684.5485885
wvbg5of9,18,4njwr9zv,38-bargaining_tdl_main-57_1_2,LeftPartner,hi,1787068685.840447
wvbg5of9,18,4njwr9zv,38-bargaining_tdl_main-57_1_2,LeftPartner,do you want to support each other?,1787068692.1769958
wvbg5of9,22,icfadgzv,38-bargaining_tdl_main-57_2_3,RightPartner,"Hi, who are you supporting?",1787068693.1936562
wvbg5of9,21,r9fverq5,38-bargaining_tdl_main-57_1_2,RightPartner,yes I got you,1787068723.6450076
wvbg5of9,22,icfadgzv,38-bargaining_tdl_main-57_1_3,LeftPartner,Hello,1787068729.4680176
wvbg5of9,18,4njwr9zv,38-bargaining_tdl_main-57_1_2,LeftPartner,I got you too,1787068729.6121595
wvbg5of9,18,4njwr9zv,38-bargaining_tdl_main-57_1_3,RightPartner,hi,1787068732.529055
wvbg5of9,21,r9fverq5,38-bargaining_tdl_main-57_2_3,LeftPartner,yellow because they offered mutual support,1787068737.4106495
wvbg5of9,21,r9fverq5,38-bargaining_tdl_main-57_1_2,RightPartner,sweet :),1787068741.8870416
wvbg5of9,18,4njwr9zv,38-bargaining_tdl_main-57_1_2,LeftPartner,sounds like a good deal. ready to move on?,1787068769.44528
wvbg5of9,21,r9fverq5,38-bargaining_tdl_main-57_1_2,RightPartner,yes!,1787068791.35339
lz09lc4v,4,szs0qre2,39-bargaining_tdl_main-58_1_2,RightPartner,I will support you if you support me,1787070066.8531532
lz09lc4v,13,ypk0ruqj,39-bargaining_tdl_main-58_2_3,RightPartner,Hi! We should both vote for each other for the 3 bonus!,1787070067.07982
lz09lc4v,13,ypk0ruqj,39-bargaining_tdl_main-58_1_3,LeftPartner,Hello!,1787070077.5513606
lz09lc4v,4,szs0qre2,39-bargaining_tdl_main-58_2_3,LeftPartner,Sounds good,1787070079.6112945
lz09lc4v,6,e9kms07f,39-bargaining_tdl_main-59_1_2,RightPartner,Hello,1787070085.3714054
lz09lc4v,1,pn1cxd0l,39-bargaining_tdl_main-59_1_3,RightPartner,I will support you if you support me,1787070089.39375
lz09lc4v,6,e9kms07f,39-bargaining_tdl_main-59_2_3,LeftPartner,Hello,1787070090.0410554
lz09lc4v,1,pn1cxd0l,39-bargaining_tdl_main-59_1_2,LeftPartner,Hello,1787070093.1202266
lz09lc4v,13,ypk0ruqj,39-bargaining_tdl_main-58_1_3,LeftPartner,We should both vote for each other for the 3 bonus!,1787070098.9927905
lz09lc4v,11,iy9pih71,39-bargaining_tdl_main-59_1_3,LeftPartner,ok ,1787070099.6080317
lz09lc4v,6,e9kms07f,39-bargaining_tdl_main-59_2_3,LeftPartner,I want this to be fair so I think we should all support each other,1787070101.5699768
lz09lc4v,4,szs0qre2,39-bargaining_tdl_main-58_1_2,RightPartner,Purple replied first so I'm going to vote them,1787070101.6617057
lz09lc4v,3,ib3eigh4,39-bargaining_tdl_main-58_1_3,RightPartner,"Okay, so the way for everyone to benefit is for two people to support each other for two rounds, then support the last person (third) on one round. I think we should do myself and you supporting each other two rounds, then we both support orange. Then keep doing that. we both support each other two rounds, then orange. How does that sound? We can switch who supports who, if we keep that 'pattern'.",1787070105.2813354
lz09lc4v,3,ib3eigh4,39-bargaining_tdl_main-58_1_3,RightPartner,Hi!,1787070108.274785
lz09lc4v,13,ypk0ruqj,39-bargaining_tdl_main-58_2_3,RightPartner,"Okay bet
",1787070108.499926
lz09lc4v,1,pn1cxd0l,39-bargaining_tdl_main-59_1_3,RightPartner,Sounds good,1787070111.4309683
lz09lc4v,6,e9kms07f,39-bargaining_tdl_main-59_1_2,RightPartner,I want this to be fair so I think that we should all support each other,1787070115.1044502
lz09lc4v,1,pn1cxd0l,39-bargaining_tdl_main-59_1_2,LeftPartner,Sure ,1787070121.9761605
lz09lc4v,13,ypk0ruqj,39-bargaining_tdl_main-58_1_3,LeftPartner,Okay! Sounds good! So who to support this round? ,1787070132.786008
lz09lc4v,6,e9kms07f,39-bargaining_tdl_main-59_1_2,RightPartner,Who do you want to support?,1787070132.9182162
lz09lc4v,1,pn1cxd0l,39-bargaining_tdl_main-59_1_2,LeftPartner,I will support purple,1787070134.8327498
lz09lc4v,3,ib3eigh4,39-bargaining_tdl_main-58_1_3,RightPartner,"Okay, orange told me they're supporting you... hm",1787070135.1609933
lz09lc4v,1,pn1cxd0l,39-bargaining_tdl_main-59_1_2,LeftPartner,they will support you,1787070142.6193218
lz09lc4v,3,ib3eigh4,39-bargaining_tdl_main-58_1_3,RightPartner,and left the chat lol,1787070143.2137632
lz09lc4v,13,ypk0ruqj,39-bargaining_tdl_main-58_1_3,LeftPartner,Oh okay ,1787070146.713727
