session_code,id_in_session,participant_code,channel,nickname,body,timestamp
7k6rrk1t,3,eos88v0r,10-bargaining_tdl_main-22_2_3,LeftPartner,nnggnfnfnfgngfnn,1787557972.8509874
7k6rrk1t,1,bq7v8spd,10-bargaining_tdl_main-22_1_3,LeftPartner,ciao purple,1787557990.6506965
7k6rrk1t,1,bq7v8spd,10-bargaining_tdl_main-22_1_3,LeftPartner,"ciao sono il giallo, tu sei il viola",1787558082.1875942
7k6rrk1t,2,y74997tg,10-bargaining_tdl_main-22_2_3,RightPartner,"Ciao io sono Orange, e tu sei purple e sei alla mia sinistra",1787558207.6573553
7k6rrk1t,1,bq7v8spd,10-bargaining_tdl_main-22_1_3,LeftPartner,"io sono yellow qui, e sto scrivendo a purple sulla chat sinistra",1787558264.6532671
7k6rrk1t,3,eos88v0r,10-bargaining_tdl_main-22_2_3,LeftPartner,cIAO SONO purple e wcrivo a orange nella chat sx,1787558366.964898
8gresv05,3,1dctvgwr,11-bargaining_tdl_main-24_2_3,RightPartner,purple scrive a orange nella chat a sx,1787565761.8478363
8gresv05,3,1dctvgwr,11-bargaining_tdl_main-24_1_3,LeftPartner,purple scrive a yellow nella chat dx,1787565785.0749245
8gresv05,2,ugya7zfa,11-bargaining_tdl_main-24_1_2,RightPartner,Orange scrivo a yellow nella chat sx,1787565848.3389235
8gresv05,2,ugya7zfa,11-bargaining_tdl_main-24_2_3,LeftPartner,Orange scrivo a purpleeee,1787565868.5932329
8gresv05,1,en61f0xs,11-bargaining_tdl_main-24_1_2,LeftPartner,yellow scrivo a orange a sx,1787565880.1429513
8gresv05,1,en61f0xs,11-bargaining_tdl_main-24_1_3,RightPartner,yellow scrivo a purple a dx,1787565903.6488366
qgjaaekj,2,g2uyg7bq,12-bargaining_tdl_main-26_2_3,LeftPartner,Orange per purple aweeeeeeeeeeeee,1787566536.5995867
qgjaaekj,2,g2uyg7bq,12-bargaining_tdl_main-26_1_2,RightPartner,orange per yellow evaaaaaa,1787566547.872194
qgjaaekj,1,rggnizw0,12-bargaining_tdl_main-26_1_2,LeftPartner,yellow saluta Orangeeeee,1787566562.484291
qgjaaekj,1,rggnizw0,12-bargaining_tdl_main-26_1_3,RightPartner,yellow saluta purple,1787566569.0111623
qgjaaekj,3,32g26m6g,12-bargaining_tdl_main-26_1_3,LeftPartner,prple saluta yellow,1787566583.741725
qgjaaekj,3,32g26m6g,12-bargaining_tdl_main-26_2_3,RightPartner,prple saluta orange,1787566595.9653194
ap8xo7vf,1,tn09juk5,13-bargaining_tdl_main-28_1_2,LeftPartner,Ciao sono yellow a scrivo per primo ad Orange nella chat sx,1787576782.9109013
ap8xo7vf,1,tn09juk5,13-bargaining_tdl_main-28_1_3,RightPartner,Ciao sono yellow e scrivo a Purple nella chat dx e sono il primo,1787576799.5336342
ap8xo7vf,2,b7ohs09b,13-bargaining_tdl_main-28_1_2,RightPartner,ciao sono orange e rispondo a yellow nella chat a sx per secondo,1787576825.3427367
ap8xo7vf,2,b7ohs09b,13-bargaining_tdl_main-28_2_3,LeftPartner,ciao sono orange e scrivo per primo a purple nella hat destra,1787576854.1358285
ap8xo7vf,3,z6swda5o,13-bargaining_tdl_main-28_2_3,RightPartner,ciao sono purple e ricevo da orange che ha scritto per primo. adesso rispondo per secondo nella chat sx,1787576886.9447637
ap8xo7vf,3,z6swda5o,13-bargaining_tdl_main-28_1_3,LeftPartner,"Ciao yellow, si sono purple e yi scrivo nella chat destra per secondo",1787576908.291767
w0k1pp1v,9,pa0lyt3t,7-bargaining_tdl_main-29_2_3,RightPartner,I'm the purple participant. I'm willing to form an alliance. ,1787579677.3892338
w0k1pp1v,8,sujm7e3t,7-bargaining_tdl_main-29_2_3,LeftPartner,Hello. I am going to support you so that there is a chance we can both get a bonus,1787579682.7959423
w0k1pp1v,9,pa0lyt3t,7-bargaining_tdl_main-29_2_3,RightPartner,I will support you in order to do the same.,1787579693.6536832
w0k1pp1v,8,sujm7e3t,7-bargaining_tdl_main-29_1_2,RightPartner,Hello. I am going to support you so that there is a chance we both get a bonus,1787579701.1713328
w0k1pp1v,8,sujm7e3t,7-bargaining_tdl_main-29_2_3,LeftPartner,perfect lets do it,1787579705.735583
w0k1pp1v,4,3c1q0aop,7-bargaining_tdl_main-29_1_2,LeftPartner,Hello! I will do the same.,1787579707.0842285
w0k1pp1v,9,pa0lyt3t,7-bargaining_tdl_main-29_2_3,RightPartner,Sounds great!,1787579710.662034
w0k1pp1v,4,3c1q0aop,7-bargaining_tdl_main-29_1_3,RightPartner,Hello. I will support you.,1787579719.847483
w0k1pp1v,22,c20ssexe,7-bargaining_tdl_main-31_2_3,RightPartner,I will support you if you support me,1787579728.4407847
w0k1pp1v,22,c20ssexe,7-bargaining_tdl_main-31_1_3,LeftPartner,who do you plan to support?,1787579741.874063
w0k1pp1v,13,q5vwsmix,7-bargaining_tdl_main-32_2_3,LeftPartner,Hey!,1787579742.315474
w0k1pp1v,13,q5vwsmix,7-bargaining_tdl_main-32_1_2,RightPartner,Hey!,1787579745.5728886
w0k1pp1v,30,m2ebd0pn,7-bargaining_tdl_main-31_2_3,LeftPartner,I agree to this arrangement.,1787579745.6317034
w0k1pp1v,24,xbkayxyl,7-bargaining_tdl_main-30_1_3,RightPartner,"Hi Purple! If we both support each other, we each earn $3. Let me know if you want to team up",1787579748.5700622
w0k1pp1v,38,mp422707,7-bargaining_tdl_main-33_2_3,LeftPartner,Hi there!,1787579756.402072
w0k1pp1v,38,mp422707,7-bargaining_tdl_main-33_1_2,RightPartner,Hi there!,1787579757.3617513
w0k1pp1v,44,18tj6ajl,7-bargaining_tdl_main-32_1_2,LeftPartner,hi there. our other participant left already lol,1787579763.063997
w0k1pp1v,22,c20ssexe,7-bargaining_tdl_main-31_2_3,RightPartner,Perfect! ,1787579763.3264728
w0k1pp1v,13,q5vwsmix,7-bargaining_tdl_main-32_1_2,RightPartner,I will support you since the other particpant left,1787579771.4187722
w0k1pp1v,28,bahye0k7,7-bargaining_tdl_main-31_1_3,RightPartner,I didn't have a plan. Am willing to support who ever supports me,1787579773.1556141
w0k1pp1v,44,18tj6ajl,7-bargaining_tdl_main-32_1_2,LeftPartner,exactly,1787579774.4952533
w0k1pp1v,13,q5vwsmix,7-bargaining_tdl_main-32_1_2,RightPartner,I guess our choices was made easily!,1787579789.480319
w0k1pp1v,44,18tj6ajl,7-bargaining_tdl_main-32_1_2,LeftPartner,easy money not sure why they bailed,1787579792.8631666
w0k1pp1v,31,33sk0ckk,7-bargaining_tdl_main-34_2_3,LeftPartner,Hello!,1787579795.6448436
w0k1pp1v,31,33sk0ckk,7-bargaining_tdl_main-34_1_2,RightPartner,Hello!,1787579799.988676
w0k1pp1v,6,i4fnewyg,7-bargaining_tdl_main-35_2_3,RightPartner,hi,1787579803.1351733
w0k1pp1v,42,h0i7fw4n,7-bargaining_tdl_main-35_2_3,LeftPartner,Hi,1787579805.7355835
w0k1pp1v,44,18tj6ajl,7-bargaining_tdl_main-32_1_2,LeftPartner,ok so can we just hit next to move on?,1787579806.0819345
w0k1pp1v,6,i4fnewyg,7-bargaining_tdl_main-35_1_3,LeftPartner,hi,1787579807.9214976
w0k1pp1v,42,h0i7fw4n,7-bargaining_tdl_main-35_1_2,RightPartner,Hi,1787579809.2566752
w0k1pp1v,22,c20ssexe,7-bargaining_tdl_main-31_1_3,LeftPartner,That sounds good.,1787579810.9926376
w0k1pp1v,13,q5vwsmix,7-bargaining_tdl_main-32_1_2,RightPartner,"I don't either, very weird. I think we can go ahead and click next.",1787579815.642526
w0k1pp1v,28,bahye0k7,7-bargaining_tdl_main-31_1_3,RightPartner,want to trade support or nah?,1787579815.9294498
w0k1pp1v,42,h0i7fw4n,7-bargaining_tdl_main-35_2_3,LeftPartner,We should support each other to earn the bonus,1787579819.7087145
w0k1pp1v,6,i4fnewyg,7-bargaining_tdl_main-35_2_3,RightPartner,I will support you if you support me,1787579827.4243255
w0k1pp1v,42,h0i7fw4n,7-bargaining_tdl_main-35_1_2,RightPartner,We should support each other to earn the bonus,1787579827.9503992
w0k1pp1v,25,14fow89s,7-bargaining_tdl_main-34_1_2,LeftPartner,"I will support you, if you support me, then we both win.",1787579829.264307
w0k1pp1v,42,h0i7fw4n,7-bargaining_tdl_main-35_2_3,LeftPartner,OK,1787579832.5141168
w0k1pp1v,54,hm67flwa,7-bargaining_tdl_main-36_2_3,RightPartner,hey,1787579838.5189967
w0k1pp1v,6,i4fnewyg,7-bargaining_tdl_main-35_2_3,RightPartner,Sounds like a plan,1787579841.1746268
w0k1pp1v,54,hm67flwa,7-bargaining_tdl_main-36_1_3,LeftPartner,hey,1787579841.2043834
w0k1pp1v,27,5duad6r4,7-bargaining_tdl_main-35_1_2,LeftPartner,Hello,1787579843.3055096
w0k1pp1v,42,h0i7fw4n,7-bargaining_tdl_main-35_2_3,LeftPartner,Great!,1787579847.0347
w0k1pp1v,24,xbkayxyl,7-bargaining_tdl_main-30_1_3,RightPartner,hello,1787579847.6782215
w0k1pp1v,31,33sk0ckk,7-bargaining_tdl_main-34_1_2,RightPartner,I agree! That sounds good to me!,1787579848.313586
w0k1pp1v,21,feb7kdkx,7-bargaining_tdl_main-36_2_3,LeftPartner,Hello,1787579848.8660126
w0k1pp1v,27,5duad6r4,7-bargaining_tdl_main-35_1_3,RightPartner,Hello,1787579851.1016557
w0k1pp1v,6,i4fnewyg,7-bargaining_tdl_main-35_1_3,LeftPartner,hows it going,1787579854.6915507
w0k1pp1v,1,rttz7zmy,7-bargaining_tdl_main-36_1_3,RightPartner,yes ,1787579860.7833998
w0k1pp1v,6,i4fnewyg,7-bargaining_tdl_main-35_1_3,LeftPartner,who are you supporting,1787579864.3168273
w0k1pp1v,54,hm67flwa,7-bargaining_tdl_main-36_1_3,LeftPartner,shall we support each other?,1787579873.0043395
w0k1pp1v,27,5duad6r4,7-bargaining_tdl_main-35_1_3,RightPartner,"good, just got done reading the rules. this one is intense hehe",1787579873.1415684
w0k1pp1v,58,ontr1p82,7-bargaining_tdl_main-37_1_3,LeftPartner,Hi there.,1787579877.0042994
w0k1pp1v,58,ontr1p82,7-bargaining_tdl_main-37_2_3,RightPartner,Hi there.,1787579878.469632
w0k1pp1v,54,hm67flwa,7-bargaining_tdl_main-36_2_3,RightPartner,shall we support each other?,1787579878.6475346
w0k1pp1v,1,rttz7zmy,7-bargaining_tdl_main-36_1_3,RightPartner,ok lets do it make sure thz,1787579885.4313893
w0k1pp1v,21,feb7kdkx,7-bargaining_tdl_main-36_2_3,LeftPartner,i propose we support each other to earn $3,1787579887.4420016
w0k1pp1v,25,14fow89s,7-bargaining_tdl_main-34_1_2,LeftPartner,"Ok...we are set, just always support each other, including purple, who left",1787579890.2049701
w0k1pp1v,21,feb7kdkx,7-bargaining_tdl_main-36_1_2,RightPartner,hello,1787579891.58688
w0k1pp1v,33,h3cvwk2e,7-bargaining_tdl_main-37_2_3,LeftPartner,hi who you picking,1787579892.0242796
w0k1pp1v,27,5duad6r4,7-bargaining_tdl_main-35_1_3,RightPartner,"I'll support you, purple is my favorite color :)",1787579893.393991
w0k1pp1v,19,2yjbrlfh,7-bargaining_tdl_main-38_2_3,RightPartner,I’m going to support you,1787579898.2483218
w0k1pp1v,19,2yjbrlfh,7-bargaining_tdl_main-38_1_3,LeftPartner,I’m going to support you,1787579907.9313598
w0k1pp1v,58,ontr1p82,7-bargaining_tdl_main-37_2_3,RightPartner,You of course.  ,1787579907.9375808
w0k1pp1v,1,rttz7zmy,7-bargaining_tdl_main-36_1_2,LeftPartner,sry i already agreed to spt purple. ,1787579919.6126015
w0k1pp1v,58,ontr1p82,7-bargaining_tdl_main-37_2_3,RightPartner,Let's make some money.,1787579920.8396406
w0k1pp1v,33,h3cvwk2e,7-bargaining_tdl_main-37_1_2,RightPartner,"hello, who are you picking",1787579921.790407
w0k1pp1v,16,sy6hl3tp,7-bargaining_tdl_main-38_2_3,LeftPartner,Okay I'll support you as well.,1787579922.212918
w0k1pp1v,54,hm67flwa,7-bargaining_tdl_main-36_2_3,RightPartner,I will 100% support you,1787579930.5414834
w0k1pp1v,54,hm67flwa,7-bargaining_tdl_main-36_2_3,RightPartner,the other participant is making no sense,1787579937.463857
w0k1pp1v,16,sy6hl3tp,7-bargaining_tdl_main-38_1_2,RightPartner,who do you plan to support,1787579937.5772212
w0k1pp1v,32,8rn9b959,7-bargaining_tdl_main-37_1_3,RightPartner,I am good and you,1787579939.4183207
w0k1pp1v,57,o5wl0csp,7-bargaining_tdl_main-39_2_3,RightPartner,I plan to support you,1787579942.6883013
w0k1pp1v,39,0zhdy0ci,7-bargaining_tdl_main-39_1_3,RightPartner,Any ideas?,1787579945.6011198
w0k1pp1v,33,h3cvwk2e,7-bargaining_tdl_main-37_2_3,LeftPartner,okay deal i'll also choose you,1787579945.9616919
w0k1pp1v,32,8rn9b959,7-bargaining_tdl_main-37_1_2,LeftPartner,i am good and you,1787579949.6046505
w0k1pp1v,58,ontr1p82,7-bargaining_tdl_main-37_1_3,LeftPartner,"Great, thanks.",1787579956.196169
w0k1pp1v,39,0zhdy0ci,7-bargaining_tdl_main-39_1_2,LeftPartner,Anu ideas?,1787579956.1998298
w0k1pp1v,54,hm67flwa,7-bargaining_tdl_main-36_2_3,RightPartner,"to be honest, I don't like them at all",1787579970.2117963
w0k1pp1v,60,a739vpjo,7-bargaining_tdl_main-40_1_3,LeftPartner,hello,1787579974.8389513
w0k1pp1v,60,a739vpjo,7-bargaining_tdl_main-40_2_3,RightPartner,hello,1787579979.3331764
w0k1pp1v,58,ontr1p82,7-bargaining_tdl_main-37_2_3,RightPartner,Cool.  Let's do it then.,1787579981.0849445
w0k1pp1v,29,wgrml8yf,7-bargaining_tdl_main-40_1_3,RightPartner,hey!,1787579984.1286452
w0k1pp1v,41,cek33gm1,7-bargaining_tdl_main-40_2_3,LeftPartner,hello,1787579985.1317787
w0k1pp1v,55,z35y8fo5,7-bargaining_tdl_main-39_2_3,LeftPartner,ok lets support eachother,1787579985.2222137
w0k1pp1v,57,o5wl0csp,7-bargaining_tdl_main-39_1_3,LeftPartner,should we support each other?,1787579985.6720798
w0k1pp1v,29,wgrml8yf,7-bargaining_tdl_main-40_1_2,LeftPartner,hey,1787579988.1659696
w0k1pp1v,39,0zhdy0ci,7-bargaining_tdl_main-39_1_2,LeftPartner,I meant ANY,1787579990.7839787
w0k1pp1v,41,cek33gm1,7-bargaining_tdl_main-40_1_2,RightPartner,hi,1787579999.574139
w0k1pp1v,1,rttz7zmy,7-bargaining_tdl_main-36_1_3,RightPartner,i told orange im gona spt u ,1787580001.5032237
w0k1pp1v,60,a739vpjo,7-bargaining_tdl_main-40_2_3,RightPartner,im willing to take one for the team,1787580002.9166436
w0k1pp1v,29,wgrml8yf,7-bargaining_tdl_main-40_1_2,LeftPartner,what do you think we should do?,1787580008.405395
w0k1pp1v,60,a739vpjo,7-bargaining_tdl_main-40_1_3,LeftPartner,im willing to take one for the team,1787580010.9336464
w0k1pp1v,41,cek33gm1,7-bargaining_tdl_main-40_2_3,LeftPartner,really?,1787580021.69652
w0k1pp1v,60,a739vpjo,7-bargaining_tdl_main-40_2_3,RightPartner,yes,1787580024.7717555
w0k1pp1v,41,cek33gm1,7-bargaining_tdl_main-40_1_2,RightPartner,Not sure,1787580026.146883
w0k1pp1v,41,cek33gm1,7-bargaining_tdl_main-40_2_3,LeftPartner,Well its up to you,1787580032.7923262
w0k1pp1v,29,wgrml8yf,7-bargaining_tdl_main-40_1_3,RightPartner,are you sure? so your not going to pick anyone,1787580035.8191261
w0k1pp1v,60,a739vpjo,7-bargaining_tdl_main-40_2_3,RightPartner,so how do we do this,1787580035.9999297
w0k1pp1v,1,rttz7zmy,7-bargaining_tdl_main-36_1_2,LeftPartner,hi,1787580040.244563
w0k1pp1v,21,feb7kdkx,7-bargaining_tdl_main-36_1_2,RightPartner,what are we agreeing too,1787580044.9741263
w0k1pp1v,1,rttz7zmy,7-bargaining_tdl_main-36_1_2,LeftPartner,purple left the chat,1787580047.206136
w0k1pp1v,29,wgrml8yf,7-bargaining_tdl_main-40_1_2,LeftPartner,me either ,1787580049.0942996
w0k1pp1v,60,a739vpjo,7-bargaining_tdl_main-40_1_3,LeftPartner,what should i do theres no way we can all get paid,1787580054.294097
w0k1pp1v,21,feb7kdkx,7-bargaining_tdl_main-36_1_2,RightPartner,yeah,1787580057.2784157
w0k1pp1v,1,rttz7zmy,7-bargaining_tdl_main-36_1_2,LeftPartner,lets support each other ok ??,1787580060.813868
w0k1pp1v,41,cek33gm1,7-bargaining_tdl_main-40_2_3,LeftPartner,I guess you pick who to support or not to support,1787580065.4274087
w0k1pp1v,60,a739vpjo,7-bargaining_tdl_main-40_1_3,LeftPartner,yea you guys work it out,1787580077.7134402
w0k1pp1v,21,feb7kdkx,7-bargaining_tdl_main-36_1_2,RightPartner,okay Im Orange,1787580077.9423497
w0k1pp1v,41,cek33gm1,7-bargaining_tdl_main-40_1_2,RightPartner,you have to pick who you want to support,1787580077.947006
w0k1pp1v,35,l2bdeiwp,7-bargaining_tdl_main-41_1_3,RightPartner,Hello ,1787580088.4806826
w0k1pp1v,60,a739vpjo,7-bargaining_tdl_main-40_1_3,LeftPartner,tell me what you want me to pick,1787580088.9019654
w0k1pp1v,21,feb7kdkx,7-bargaining_tdl_main-36_1_2,RightPartner,agreed ,1787580091.1638389
w0k1pp1v,35,l2bdeiwp,7-bargaining_tdl_main-41_1_2,LeftPartner,Hello,1787580092.0972903
w0k1pp1v,1,rttz7zmy,7-bargaining_tdl_main-36_1_2,LeftPartner,yes i spt u and u spt me. make sure okay? thx,1787580092.4974961
w0k1pp1v,37,npsvxthz,7-bargaining_tdl_main-41_2_3,LeftPartner,I think that we should support one another and not support yellow,1787580095.6740725
w0k1pp1v,29,wgrml8yf,7-bargaining_tdl_main-40_1_2,LeftPartner,ok ill choose you ,1787580096.5973449
w0k1pp1v,60,a739vpjo,7-bargaining_tdl_main-40_2_3,RightPartner,tell me what you want me to pick,1787580097.0418632
w0k1pp1v,37,npsvxthz,7-bargaining_tdl_main-41_1_2,RightPartner,Hello,1787580099.3200378
w0k1pp1v,65,85j5ofgm,7-bargaining_tdl_main-42_1_2,RightPartner,Good morning,1787580100.02895
w0k1pp1v,48,hq5tbgfo,7-bargaining_tdl_main-41_1_3,LeftPartner,Hello!,1787580101.909134
w0k1pp1v,29,wgrml8yf,7-bargaining_tdl_main-40_1_3,RightPartner,you pick no one?,1787580104.8996964
w0k1pp1v,21,feb7kdkx,7-bargaining_tdl_main-36_1_2,RightPartner,yeah we good,1787580105.219545
w0k1pp1v,65,85j5ofgm,7-bargaining_tdl_main-42_2_3,LeftPartner,Good morning,1787580106.353311
w0k1pp1v,29,wgrml8yf,7-bargaining_tdl_main-40_1_3,RightPartner,im not sure,1787580107.079627
w0k1pp1v,66,4z3psel4,7-bargaining_tdl_main-42_2_3,RightPartner,hello,1787580110.5267487
w0k1pp1v,48,hq5tbgfo,7-bargaining_tdl_main-41_2_3,RightPartner,"Totally agree, let's do it!",1787580112.2191193
w0k1pp1v,60,a739vpjo,7-bargaining_tdl_main-40_1_3,LeftPartner,yea right,1787580112.8929207
w0k1pp1v,29,wgrml8yf,7-bargaining_tdl_main-40_1_3,RightPartner,this is a little confusing lol,1787580113.6851573
w0k1pp1v,41,cek33gm1,7-bargaining_tdl_main-40_2_3,LeftPartner,I can't tell you that. I want you to pick for yourself,1787580114.0747325
w0k1pp1v,60,a739vpjo,7-bargaining_tdl_main-40_1_3,LeftPartner,lol,1787580116.1752098
w0k1pp1v,66,4z3psel4,7-bargaining_tdl_main-42_1_3,LeftPartner,hey,1787580116.5202887
w0k1pp1v,60,a739vpjo,7-bargaining_tdl_main-40_1_3,LeftPartner,yea,1787580118.5148804
w0k1pp1v,59,7bahlg0x,7-bargaining_tdl_main-43_1_3,RightPartner,Hello,1787580118.9720879
w0k1pp1v,35,l2bdeiwp,7-bargaining_tdl_main-41_1_3,RightPartner,Which color do you think you'll choose,1787580120.8961568
w0k1pp1v,70,64vc0b7z,7-bargaining_tdl_main-43_1_3,LeftPartner,Hello,1787580123.729557
w0k1pp1v,41,cek33gm1,7-bargaining_tdl_main-40_1_2,RightPartner,Ok then I choose you too,1787580127.6274633
w0k1pp1v,49,30ghjv9r,7-bargaining_tdl_main-42_1_2,LeftPartner,Morning to you too.,1787580128.8453648
w0k1pp1v,35,l2bdeiwp,7-bargaining_tdl_main-41_1_2,LeftPartner,what color are ya thinking of choosing,1787580129.0820973
w0k1pp1v,37,npsvxthz,7-bargaining_tdl_main-41_2_3,LeftPartner,What should we tell yellow?  Nothing?,1787580130.7068784
w0k1pp1v,29,wgrml8yf,7-bargaining_tdl_main-40_1_3,RightPartner,other person is orange and i cant stand that color so im not picking them lmao,1787580132.8556075
w0k1pp1v,64,ifdnbxpp,7-bargaining_tdl_main-43_1_2,RightPartner,hello,1787580133.3642313
w0k1pp1v,49,30ghjv9r,7-bargaining_tdl_main-42_1_3,RightPartner,Hello,1787580137.727404
w0k1pp1v,48,hq5tbgfo,7-bargaining_tdl_main-41_1_3,LeftPartner,"I am still deciding, how about you?",1787580138.064317
w0k1pp1v,37,npsvxthz,7-bargaining_tdl_main-41_2_3,LeftPartner,They are asking me what color to choose?,1787580141.458097
w0k1pp1v,64,ifdnbxpp,7-bargaining_tdl_main-43_2_3,LeftPartner,hello,1787580142.3270624
w0k1pp1v,70,64vc0b7z,7-bargaining_tdl_main-43_2_3,RightPartner,Hello,1787580142.90329
w0k1pp1v,66,4z3psel4,7-bargaining_tdl_main-42_1_3,LeftPartner,wanna support each other,1787580149.1687968
w0k1pp1v,70,64vc0b7z,7-bargaining_tdl_main-43_2_3,RightPartner,Let's support each other and get the max benefit.,1787580154.8381195
w0k1pp1v,49,30ghjv9r,7-bargaining_tdl_main-42_1_3,RightPartner,absolutely.,1787580159.872453
w0k1pp1v,48,hq5tbgfo,7-bargaining_tdl_main-41_2_3,RightPartner,I just told yellow I am still thinking about it.  But I am 100% committed to supporting you.,1787580162.8233082
w0k1pp1v,64,ifdnbxpp,7-bargaining_tdl_main-43_2_3,LeftPartner,perfect,1787580168.7949886
w0k1pp1v,37,npsvxthz,7-bargaining_tdl_main-41_1_2,RightPartner,I am thinking of choosing yellow if you choose orange,1787580169.713927
w0k1pp1v,66,4z3psel4,7-bargaining_tdl_main-42_1_3,LeftPartner,thanks,1787580173.595715
w0k1pp1v,37,npsvxthz,7-bargaining_tdl_main-41_2_3,LeftPartner,I told them yellow as well,1787580180.3103542
w0k1pp1v,35,l2bdeiwp,7-bargaining_tdl_main-41_1_3,RightPartner,I'm leaning towards purple now and then maybe orange later so we get equal shots at making the money ,1787580184.0214171
w0k1pp1v,35,l2bdeiwp,7-bargaining_tdl_main-41_1_3,RightPartner,orange left the chat so idk that theyll be fair,1787580226.6984732
w0k1pp1v,48,hq5tbgfo,7-bargaining_tdl_main-41_1_3,LeftPartner,Yeah I had the same experience with orange!  How about we agree to support each other?,1787580251.372666
w0k1pp1v,35,l2bdeiwp,7-bargaining_tdl_main-41_1_3,RightPartner,sounds good ,1787580256.9999523
w0k1pp1v,48,hq5tbgfo,7-bargaining_tdl_main-41_1_3,LeftPartner,Great!,1787580265.2020972
w0k1pp1v,52,jlw209m3,7-bargaining_tdl_main-44_1_3,RightPartner,i will support you,1787580282.6468487
w0k1pp1v,69,iea3juo1,7-bargaining_tdl_main-44_1_3,LeftPartner,"Sounds good, i'll support you back",1787580294.6493733
w0k1pp1v,52,jlw209m3,7-bargaining_tdl_main-44_1_3,RightPartner,"deal, thanks.",1787580303.4757104
w0k1pp1v,68,4gf34krz,7-bargaining_tdl_main-44_2_3,LeftPartner,"If you promise to support me every time, I will promise to support you every time.",1787580307.4553857
w0k1pp1v,68,4gf34krz,7-bargaining_tdl_main-44_2_3,LeftPartner,Deal?,1787580336.723468
w0k1pp1v,69,iea3juo1,7-bargaining_tdl_main-44_2_3,RightPartner,"I would have said yes, but unfortunately the other participant offered first and i already said yes. I apologize",1787580356.06737
w0k1pp1v,56,n436emyu,7-bargaining_tdl_main-45_1_2,RightPartner,HI,1787580549.2713077
w0k1pp1v,51,hxk8xaae,7-bargaining_tdl_main-45_1_2,LeftPartner,Hello!,1787580555.573312
w0k1pp1v,51,hxk8xaae,7-bargaining_tdl_main-45_1_3,RightPartner,Good Morning!,1787580563.599046
w0k1pp1v,51,hxk8xaae,7-bargaining_tdl_main-45_1_2,LeftPartner,How is your Monday going so far?,1787580584.6066608
w0k1pp1v,56,n436emyu,7-bargaining_tdl_main-45_1_2,RightPartner,"If you can trust me, can we work together",1787580594.7069225
w0k1pp1v,56,n436emyu,7-bargaining_tdl_main-45_2_3,LeftPartner,hello,1787580603.0505943
